**********
SEED 1
**********
Running Online Backpropagation...
Iteration 1	 Training error: 1.67184	 Test error: 1.63475
Iteration 2	 Training error: 1.90007	 Test error: 1.88413
Iteration 3	 Training error: 1.86474	 Test error: 1.77581
Iteration 4	 Training error: 1.49926	 Test error: 1.45171
Iteration 5	 Training error: 1.48719	 Test error: 1.35458
Iteration 6	 Training error: 1.47229	 Test error: 1.38174
Iteration 7	 Training error: 1.39909	 Test error: 1.36402
Iteration 8	 Training error: 1.41708	 Test error: 1.39074
Iteration 9	 Training error: 1.39306	 Test error: 1.35015
Iteration 10	 Training error: 1.37664	 Test error: 1.35167
Iteration 11	 Training error: 1.37543	 Test error: 1.35119
Iteration 12	 Training error: 1.34772	 Test error: 1.29463
Iteration 13	 Training error: 1.33526	 Test error: 1.28842
Iteration 14	 Training error: 1.32656	 Test error: 1.28189
Iteration 15	 Training error: 1.30889	 Test error: 1.25505
Iteration 16	 Training error: 1.30889	 Test error: 1.25472
Iteration 17	 Training error: 1.30889	 Test error: 1.2539
Iteration 18	 Training error: 1.30884	 Test error: 1.25149
Iteration 19	 Training error: 1.30443	 Test error: 1.2377
Iteration 20	 Training error: 1.27829	 Test error: 1.21104
Iteration 21	 Training error: 1.27102	 Test error: 1.19439
Iteration 22	 Training error: 1.24335	 Test error: 1.16425
Iteration 23	 Training error: 1.24663	 Test error: 1.16773
Iteration 24	 Training error: 1.24111	 Test error: 1.16076
Iteration 25	 Training error: 1.24103	 Test error: 1.16077
Iteration 26	 Training error: 1.24111	 Test error: 1.16046
Iteration 27	 Training error: 1.24	 Test error: 1.16044
Iteration 28	 Training error: 1.24	 Test error: 1.16045
Iteration 29	 Training error: 1.24	 Test error: 1.16045
Iteration 30	 Training error: 1.24	 Test error: 1.16045
Iteration 31	 Training error: 1.24	 Test error: 1.16045
Iteration 32	 Training error: 1.24	 Test error: 1.16046
Iteration 33	 Training error: 1.24	 Test error: 1.16046
Iteration 34	 Training error: 1.24	 Test error: 1.16046
Iteration 35	 Training error: 1.24	 Test error: 1.16046
Iteration 36	 Training error: 1.24	 Test error: 1.16046
Iteration 37	 Training error: 1.24	 Test error: 1.16046
