**********
SEED 1
**********
Running Online Backpropagation...
Iteration 1	 Training error: 0.716442	 Test error: 0.725638
Iteration 2	 Training error: 0.665639	 Test error: 0.687335
Iteration 3	 Training error: 0.666486	 Test error: 0.682071
Iteration 4	 Training error: 0.648524	 Test error: 0.670125
Iteration 5	 Training error: 0.665051	 Test error: 0.677167
Iteration 6	 Training error: 0.654783	 Test error: 0.683775
Iteration 7	 Training error: 0.65298	 Test error: 0.673016
Iteration 8	 Training error: 0.649667	 Test error: 0.664484
Iteration 9	 Training error: 0.657002	 Test error: 0.668994
Iteration 10	 Training error: 0.655913	 Test error: 0.68099
Iteration 11	 Training error: 0.645276	 Test error: 0.667584
Iteration 12	 Training error: 0.653505	 Test error: 0.675518
Iteration 13	 Training error: 0.627454	 Test error: 0.651423
Iteration 14	 Training error: 0.63575	 Test error: 0.650216
Iteration 15	 Training error: 0.645908	 Test error: 0.663101
Iteration 16	 Training error: 0.646157	 Test error: 0.65843
Iteration 17	 Training error: 0.626014	 Test error: 0.64764
Iteration 18	 Training error: 0.661348	 Test error: 0.680836
Iteration 19	 Training error: 0.647578	 Test error: 0.660088
Iteration 20	 Training error: 0.644043	 Test error: 0.665953
Iteration 21	 Training error: 0.641128	 Test error: 0.661568
Iteration 22	 Training error: 0.63365	 Test error: 0.666743
Iteration 23	 Training error: 0.633601	 Test error: 0.666165
Iteration 24	 Training error: 0.644342	 Test error: 0.659815
Iteration 25	 Training error: 0.639648	 Test error: 0.659819
Iteration 26	 Training error: 0.637067	 Test error: 0.666094
Iteration 27	 Training error: 0.635424	 Test error: 0.662647
Iteration 28	 Training error: 0.629782	 Test error: 0.658785
Iteration 29	 Training error: 0.629776	 Test error: 0.654672
Iteration 30	 Training error: 0.628335	 Test error: 0.662584
Iteration 31	 Training error: 0.627995	 Test error: 0.66057
Iteration 32	 Training error: 0.632127	 Test error: 0.657063
Iteration 33	 Training error: 0.634921	 Test error: 0.668783
Iteration 34	 Training error: 0.632459	 Test error: 0.659513
Iteration 35	 Training error: 0.626385	 Test error: 0.657238
Iteration 36	 Training error: 0.626439	 Test error: 0.648323
Iteration 37	 Training error: 0.623778	 Test error: 0.648405
Iteration 38	 Training error: 0.634326	 Test error: 0.650166
Iteration 39	 Training error: 0.628547	 Test error: 0.657091
Iteration 40	 Training error: 0.633195	 Test error: 0.64565
Iteration 41	 Training error: 0.628542	 Test error: 0.650187
Iteration 42	 Training error: 0.630209	 Test error: 0.662141
Iteration 43	 Training error: 0.633186	 Test error: 0.668164
Iteration 44	 Training error: 0.63059	 Test error: 0.662804
Iteration 45	 Training error: 0.623246	 Test error: 0.650649
Iteration 46	 Training error: 0.632643	 Test error: 0.66633
Iteration 47	 Training error: 0.632785	 Test error: 0.659398
Iteration 48	 Training error: 0.639883	 Test error: 0.663465
Iteration 49	 Training error: 0.644729	 Test error: 0.667833
Iteration 50	 Training error: 0.638191	 Test error: 0.656505
Iteration 51	 Training error: 0.632763	 Test error: 0.654158
Iteration 52	 Training error: 0.632773	 Test error: 0.658946
Iteration 53	 Training error: 0.633385	 Test error: 0.658946
Iteration 54	 Training error: 0.631402	 Test error: 0.65055
Iteration 55	 Training error: 0.647336	 Test error: 0.662381
Iteration 56	 Training error: 0.645681	 Test error: 0.666794
Iteration 57	 Training error: 0.642763	 Test error: 0.653928
Iteration 58	 Training error: 0.633917	 Test error: 0.647596
Iteration 59	 Training error: 0.628939	 Test error: 0.647127
Iteration 60	 Training error: 0.630923	 Test error: 0.647434
Iteration 61	 Training error: 0.626667	 Test error: 0.653066
Iteration 62	 Training error: 0.627049	 Test error: 0.649248
Iteration 63	 Training error: 0.626618	 Test error: 0.658164
Iteration 64	 Training error: 0.625594	 Test error: 0.64824
Iteration 65	 Training error: 0.63159	 Test error: 0.658267
Iteration 66	 Training error: 0.619036	 Test error: 0.646331
Iteration 67	 Training error: 0.631653	 Test error: 0.64788
Iteration 68	 Training error: 0.621874	 Test error: 0.651471
Iteration 69	 Training error: 0.624188	 Test error: 0.646828
Iteration 70	 Training error: 0.636798	 Test error: 0.671016
Iteration 71	 Training error: 0.639264	 Test error: 0.667406
Iteration 72	 Training error: 0.625478	 Test error: 0.659797
Iteration 73	 Training error: 0.633329	 Test error: 0.654186
Iteration 74	 Training error: 0.623734	 Test error: 0.65285
Iteration 75	 Training error: 0.626989	 Test error: 0.651704
Iteration 76	 Training error: 0.627931	 Test error: 0.651096
Iteration 77	 Training error: 0.62958	 Test error: 0.654211
Iteration 78	 Training error: 0.623631	 Test error: 0.655398
Iteration 79	 Training error: 0.63145	 Test error: 0.664758
Iteration 80	 Training error: 0.625441	 Test error: 0.649467
Iteration 81	 Training error: 0.633753	 Test error: 0.65786
Iteration 82	 Training error: 0.633488	 Test error: 0.657625
Iteration 83	 Training error: 0.632161	 Test error: 0.66007
Iteration 84	 Training error: 0.630694	 Test error: 0.65711
Iteration 85	 Training error: 0.621141	 Test error: 0.646739
Iteration 86	 Training error: 0.633241	 Test error: 0.666383
Iteration 87	 Training error: 0.634733	 Test error: 0.664799
Iteration 88	 Training error: 0.632658	 Test error: 0.67267
Iteration 89	 Training error: 0.638617	 Test error: 0.666266
Iteration 90	 Training error: 0.630456	 Test error: 0.658009
Iteration 91	 Training error: 0.62068	 Test error: 0.648022
Iteration 92	 Training error: 0.627767	 Test error: 0.656081
Iteration 93	 Training error: 0.633514	 Test error: 0.657998
Iteration 94	 Training error: 0.62247	 Test error: 0.646426
Iteration 95	 Training error: 0.617631	 Test error: 0.6358
Iteration 96	 Training error: 0.622499	 Test error: 0.641702
Iteration 97	 Training error: 0.618567	 Test error: 0.639901
Iteration 98	 Training error: 0.630934	 Test error: 0.65367
Iteration 99	 Training error: 0.628785	 Test error: 0.645049
Iteration 100	 Training error: 0.625788	 Test error: 0.650556
Iteration 101	 Training error: 0.627436	 Test error: 0.647172
