eta,mu,layers,neurons,offline,error_function,train_mean,train_std,test_mean,test_std
0.897831653707041,0.7044622734059396,4,16,0,0,6.20546e-05,0.0,6.20546e-05,0.0
0.8563067779625074,0.6427156657502,2,8,1,0,0.000139551,0.0,0.000139551,0.0
0.44782853363475206,0.5796057411974314,4,64,1,0,4.04062e-05,0.0,4.04062e-05,0.0
0.5247821156280349,0.6496638233892145,4,32,0,0,4.80873e-05,0.0,4.80873e-05,0.0
0.6694651530399877,0.7530310910188174,2,4,0,0,0.000222962,0.0,0.000222962,0.0
0.8767221744941547,0.5994254725897135,3,8,0,0,0.000127385,0.0,0.000127385,0.0
0.8148098007726757,0.8625102667640697,1,4,0,0,0.000568776,0.0,0.000568776,0.0
0.11679579675949063,0.8918517763528422,3,64,1,0,4.43003e-05,0.0,4.43003e-05,0.0
0.8483711982911333,0.837372874474708,3,4,1,0,0.000163582,0.0,0.000163582,0.0
0.8548516361435332,0.6062393232992533,3,16,1,0,6.85693e-05,0.0,6.85693e-05,0.0
0.690194041301043,0.15490541924751672,1,2,0,0,0.0516948,0.0,0.0516948,0.0
