eta,mu,layers,neurons,offline,error_function,train_mean,train_std,test_mean,test_std
0.01,0.1,1,2,0,0,0.801901,0.0543873,0.785176,0.0522695
0.01,0.1,1,2,0,1,0.0,0.0,0.0,0.0
0.01,0.1,1,2,1,0,0.415458,0.00287615,0.433187,0.00166489
0.01,0.1,1,2,1,1,1.53096e-06,4.6615e-08,1.53847e-06,7.53959e-08
0.01,0.1,1,4,0,0,0.797746,0.0743511,0.787774,0.0832158
0.01,0.1,1,4,0,1,1.94614e-14,3.89228e-14,1.84754e-14,3.69509e-14
0.01,0.1,1,4,1,0,0.409313,0.00178993,0.431847,0.00378204
0.01,0.1,1,4,1,1,1.04823e-06,1.09051e-07,1.05552e-06,9.97866e-08
0.01,0.1,1,8,0,0,0.786499,0.158038,0.780584,0.164673
0.01,0.1,1,8,0,1,0.0,0.0,0.0,0.0
0.01,0.1,1,8,1,0,0.403583,0.00390045,0.444489,0.00704213
0.01,0.1,1,8,1,1,7.987e-07,4.38695e-08,8.11388e-07,5.89927e-08
0.01,0.1,1,16,0,0,0.911953,0.0579559,0.895079,0.0527148
0.01,0.1,1,16,0,1,0.0,0.0,0.0,0.0
0.01,0.1,1,16,1,0,0.391224,0.0044628,0.455105,0.00465615
0.01,0.1,1,16,1,1,5.90877e-07,9.65126e-09,6.11817e-07,1.02004e-08
0.01,0.1,1,32,0,0,0.947878,0.0877511,0.953784,0.106379
0.01,0.1,1,32,0,1,0.0,0.0,0.0,0.0
0.01,0.1,1,32,1,0,0.372886,0.00629037,0.469113,0.00837457
0.01,0.1,1,32,1,1,4.04109e-07,1.15659e-08,4.03103e-07,1.21519e-08
0.01,0.1,1,64,0,0,1.03356,0.0677669,1.05031,0.10123
0.01,0.1,1,64,0,1,0.0,0.0,0.0,0.0
0.01,0.1,1,64,1,0,0.368999,0.00628105,0.478484,0.0068784
0.01,0.1,1,64,1,1,2.34189e-07,5.93209e-09,2.36484e-07,6.48287e-09
0.01,0.1,2,2,0,0,0.753797,0.0674518,0.737935,0.0626001
0.01,0.1,2,2,0,1,0.0,0.0,0.0,0.0
0.01,0.1,2,2,1,0,0.412662,0.00143577,0.431297,0.000737137
0.01,0.1,2,2,1,1,1.62755e-06,2.68315e-07,1.62299e-06,2.67813e-07
0.01,0.1,2,4,0,0,0.870737,0.106797,0.863114,0.107846
0.01,0.1,2,4,0,1,0.0,0.0,0.0,0.0
0.01,0.1,2,4,1,0,0.405484,0.00131858,0.436729,0.00376789
0.01,0.1,2,4,1,1,1.0125e-06,8.33747e-08,1.01486e-06,8.38094e-08
0.01,0.1,2,8,0,0,0.863793,0.0732507,0.851518,0.0753281
0.01,0.1,2,8,0,1,0.0,0.0,0.0,0.0
0.01,0.1,2,8,1,0,0.385586,0.00499568,0.447328,0.00535788
0.01,0.1,2,8,1,1,6.1454e-07,6.2351e-08,6.18205e-07,6.23221e-08
0.01,0.1,2,16,0,0,0.920607,0.0833141,0.89723,0.0972634
0.01,0.1,2,16,0,1,0.0,0.0,0.0,0.0
0.01,0.1,2,16,1,0,0.351374,0.00169047,0.480809,0.00662765
0.01,0.1,2,16,1,1,3.85203e-07,3.09344e-08,3.87978e-07,3.2077e-08
0.01,0.1,2,32,0,0,0.98283,0.0833174,0.998008,0.0831183
0.01,0.1,2,32,0,1,0.0,0.0,0.0,0.0
0.01,0.1,2,32,1,0,0.340609,0.0214146,0.489891,0.0133185
0.01,0.1,2,32,1,1,2.3771e-07,2.36414e-08,2.36967e-07,2.48188e-08
0.01,0.1,2,64,0,0,0.999915,0.0533368,0.999914,0.0797968
