eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean ,test_std
0.01 ,0.1 ,     1 ,      2 ,      0 ,             0 ,0.849054    ,0.00813087  ,0.849035  ,0.0114113
0.1  ,0.5 ,     2 ,     64 ,      0 ,             0 ,0.174835    ,0.00728717  ,0.289355  ,0.0153
0.1  ,0.5 ,     2 ,     64 ,      0 ,             1 ,0.0206814   ,0.00138932  ,0.0992266 ,0.00754658
0.1  ,0.5 ,     2 ,     64 ,      1 ,             0 ,3.93731e-05 ,6.57632e-06 ,0.291706  ,0.0251015
0.1  ,0.5 ,     2 ,     64 ,      1 ,             1 ,0.0833484   ,0.0442799   ,0.233823  ,0.0293386
0.1  ,0.5 ,     2 ,    128 ,      0 ,             0 ,0.0913164   ,0.00737334  ,0.318626  ,0.018867
0.1  ,0.5 ,     2 ,    128 ,      0 ,             1 ,0.00739919  ,0.000323756 ,0.108892  ,0.00529598
0.1  ,0.5 ,     2 ,    128 ,      1 ,             0 ,1.85553e-05 ,1.76462e-05 ,0.2602    ,0.0241087
0.1  ,0.5 ,     2 ,    128 ,      1 ,             1 ,0.266037    ,0.142786    ,0.382902  ,0.0990462
0.1  ,0.5 ,     2 ,    256 ,      0 ,             0 ,0.045227    ,0.00498972  ,0.377309  ,0.0139178
0.1  ,0.5 ,     2 ,    256 ,      0 ,             1 ,0.00226962  ,0.000102069 ,0.136551  ,0.00654742
0.1  ,0.5 ,     2 ,    256 ,      1 ,             0 ,5.06466e-07 ,6.82432e-08 ,0.234039  ,0.0192989
0.1  ,0.5 ,     2 ,    256 ,      1 ,             1 ,0.77367     ,0.13814     ,0.811206  ,0.127017
0.1  ,0.5 ,     3 ,     64 ,      0 ,             0 ,0.214295    ,0.0176575   ,0.305163  ,0.0149739
0.1  ,0.5 ,     3 ,     64 ,      0 ,             1 ,0.0204557   ,0.00177191  ,0.101779  ,0.00417858
0.1  ,0.5 ,     3 ,     64 ,      1 ,             0 ,0.000482478 ,0.000956976 ,0.268949  ,0.0241424
0.1  ,0.5 ,     3 ,     64 ,      1 ,             1 ,0.133417    ,0.050082    ,0.257592  ,0.0411442
0.1  ,0.5 ,     3 ,    128 ,      0 ,             0 ,0.0939336   ,0.00639204  ,0.315927  ,0.011899
0.1  ,0.5 ,     3 ,    128 ,      0 ,             1 ,0.00615698  ,0.000237721 ,0.113366  ,0.00693664
0.1  ,0.5 ,     3 ,    128 ,      1 ,             0 ,3.63069e-07 ,1.32493e-07 ,0.247944  ,0.0189039
0.1  ,0.5 ,     3 ,    128 ,      1 ,             1 ,0.122609    ,0.0805756   ,0.260582  ,0.0399619
0.1  ,0.5 ,     3 ,    256 ,      0 ,             0 ,0.0266342   ,0.00352431  ,0.385327  ,0.0157748
0.1  ,0.5 ,     3 ,    256 ,      0 ,             1 ,0.00207181  ,0.000128071 ,0.133996  ,0.00764026
0.1  ,0.5 ,     3 ,    256 ,      1 ,             0 ,0.0050001   ,0.00426052  ,0.222965  ,0.019469
0.1  ,0.5 ,     3 ,    256 ,      1 ,             1 ,1.20358     ,0.160764    ,1.23731   ,0.159344
0.1  ,0.5 ,     4 ,     64 ,      0 ,             0 ,0.246128    ,0.0210551   ,0.319134  ,0.0227848
0.1  ,0.5 ,     4 ,     64 ,      0 ,             1 ,0.0165956   ,0.00161216  ,0.0991579 ,0.010698
0.1  ,0.5 ,     4 ,     64 ,      1 ,             0 ,0.00881379  ,0.0134657   ,0.269299  ,0.0147881
0.1  ,0.5 ,     4 ,     64 ,      1 ,             1 ,0.162261    ,0.091667    ,0.287074  ,0.0641787
0.1  ,0.5 ,     4 ,    128 ,      0 ,             0 ,0.098944    ,0.00705398  ,0.306427  ,0.0115821
