eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean   ,test_std
0.01 ,0.1 ,     1 ,      2 ,      0 ,             0 ,0.124139    ,0.114145    ,0.124139    ,0.114145
0.01 ,0.1 ,     1 ,      2 ,      0 ,             1 ,0.393573    ,0.19238     ,0.393573    ,0.19238
0.01 ,0.1 ,     1 ,      2 ,      1 ,             0 ,0.125378    ,0.113727    ,0.125378    ,0.113727
0.01 ,0.1 ,     1 ,      2 ,      1 ,             1 ,0.398655    ,0.193884    ,0.398655    ,0.193884
0.01 ,0.1 ,     1 ,      4 ,      0 ,             0 ,0.0182937   ,0.00230889  ,0.0182937   ,0.00230889
0.01 ,0.1 ,     1 ,      4 ,      0 ,             1 ,0.164921    ,0.0163478   ,0.164921    ,0.0163478
0.01 ,0.1 ,     1 ,      4 ,      1 ,             0 ,0.0189209   ,0.00229011  ,0.0189209   ,0.00229011
0.01 ,0.1 ,     1 ,      4 ,      1 ,             1 ,0.167607    ,0.017137    ,0.167607    ,0.017137
0.01 ,0.1 ,     1 ,      8 ,      0 ,             0 ,0.0119483   ,0.00207926  ,0.0119483   ,0.00207926
0.01 ,0.1 ,     1 ,      8 ,      0 ,             1 ,0.122416    ,0.0125298   ,0.122416    ,0.0125298
0.01 ,0.1 ,     1 ,      8 ,      1 ,             0 ,0.0123621   ,0.00219724  ,0.0123621   ,0.00219724
0.01 ,0.1 ,     1 ,      8 ,      1 ,             1 ,0.12491     ,0.013832    ,0.12491     ,0.013832
0.01 ,0.1 ,     1 ,     16 ,      0 ,             0 ,0.00632487  ,0.000444536 ,0.00632487  ,0.000444536
0.01 ,0.1 ,     1 ,     16 ,      0 ,             1 ,0.0887425   ,0.00510259  ,0.0887425   ,0.00510259
0.01 ,0.1 ,     1 ,     16 ,      1 ,             0 ,0.00650285  ,0.000518576 ,0.00650285  ,0.000518576
0.01 ,0.1 ,     1 ,     16 ,      1 ,             1 ,0.0902363   ,0.00546615  ,0.0902363   ,0.00546615
0.01 ,0.1 ,     1 ,     32 ,      0 ,             0 ,0.00480201  ,0.000285351 ,0.00480201  ,0.000285351
0.01 ,0.1 ,     1 ,     32 ,      0 ,             1 ,0.0771816   ,0.00152606  ,0.0771816   ,0.00152606
0.01 ,0.1 ,     1 ,     32 ,      1 ,             0 ,0.00494777  ,0.000281013 ,0.00494777  ,0.000281013
0.01 ,0.1 ,     1 ,     32 ,      1 ,             1 ,0.0790268   ,0.00178324  ,0.0790268   ,0.00178324
0.01 ,0.1 ,     1 ,     64 ,      0 ,             0 ,0.00379593  ,0.000270309 ,0.00379593  ,0.000270309
0.01 ,0.1 ,     1 ,     64 ,      0 ,             1 ,0.479636    ,0.510992    ,0.479636    ,0.510992
0.01 ,0.1 ,     1 ,     64 ,      1 ,             0 ,0.0038948   ,0.000255768 ,0.0038948   ,0.000255768
0.01 ,0.1 ,     1 ,     64 ,      1 ,             1 ,0.306095    ,0.470979    ,0.306095    ,0.470979
0.01 ,0.1 ,     2 ,      2 ,      0 ,             0 ,0.351064    ,0.165554    ,0.351064    ,0.165554
0.01 ,0.1 ,     2 ,      2 ,      0 ,             1 ,0.683696    ,0.00784836  ,0.683696    ,0.00784836
0.01 ,0.1 ,     2 ,      2 ,      1 ,             0 ,0.346939    ,0.168744    ,0.346939    ,0.168744
0.01 ,0.1 ,     2 ,      2 ,      1 ,             1 ,0.682786    ,0.00914867  ,0.682786    ,0.00914867
0.01 ,0.1 ,     2 ,      4 ,      0 ,             0 ,0.226996    ,0.169006    ,0.226996    ,0.169006
0.01 ,0.1 ,     2 ,      4 ,      0 ,             1 ,0.653722    ,0.0403105   ,0.653722    ,0.0403105
0.01 ,0.1 ,     2 ,      4 ,      1 ,             0 ,0.227001    ,0.166254    ,0.227001    ,0.166254
0.01 ,0.1 ,     2 ,      4 ,      1 ,             1 ,0.654542    ,0.0391505   ,0.654542    ,0.0391505
0.01 ,0.1 ,     2 ,      8 ,      0 ,             0 ,0.00791663  ,0.00489569  ,0.00791663  ,0.00489569
0.01 ,0.1 ,     2 ,      8 ,      0 ,             1 ,0.271985    ,0.178863    ,0.271985    ,0.178863
0.01 ,0.1 ,     2 ,      8 ,      1 ,             0 ,0.00779657  ,0.00491051  ,0.00779657  ,0.00491051
0.01 ,0.1 ,     2 ,      8 ,      1 ,             1 ,0.278452    ,0.179378    ,0.278452    ,0.179378
0.01 ,0.1 ,     2 ,     16 ,      0 ,             0 ,0.00454568  ,0.00136366  ,0.00454568  ,0.00136366
0.01 ,0.1 ,     2 ,     16 ,      0 ,             1 ,0.103905    ,0.0133656   ,0.103905    ,0.0133656
0.01 ,0.1 ,     2 ,     16 ,      1 ,             0 ,0.00450501  ,0.00137356  ,0.00450501  ,0.00137356
0.01 ,0.1 ,     2 ,     16 ,      1 ,             1 ,0.107036    ,0.0128903   ,0.107036    ,0.0128903
0.01 ,0.1 ,     2 ,     32 ,      0 ,             0 ,0.00247465  ,0.000207747 ,0.00247465  ,0.000207747
0.01 ,0.1 ,     2 ,     32 ,      0 ,             1 ,0.0562899   ,0.00342323  ,0.0562899   ,0.00342323
0.01 ,0.1 ,     2 ,     32 ,      1 ,             0 ,0.00250464  ,0.000186634 ,0.00250464  ,0.000186634
0.01 ,0.1 ,     2 ,     32 ,      1 ,             1 ,0.0580295   ,0.00367467  ,0.0580295   ,0.00367467
0.01 ,0.1 ,     2 ,     64 ,      0 ,             0 ,0.00156054  ,5.80602e-05 ,0.00156054  ,5.80602e-05
0.01 ,0.1 ,     2 ,     64 ,      0 ,             1 ,0.0385      ,0.00125265  ,0.0385      ,0.00125265
0.01 ,0.1 ,     2 ,     64 ,      1 ,             0 ,0.0016027   ,4.84615e-05 ,0.0016027   ,4.84615e-05
0.01 ,0.1 ,     2 ,     64 ,      1 ,             1 ,0.0399831   ,0.00104573  ,0.0399831   ,0.00104573
0.01 ,0.1 ,     3 ,      2 ,      0 ,             0 ,0.497022    ,0.00589091  ,0.497022    ,0.00589091
0.01 ,0.1 ,     3 ,      2 ,      0 ,             1 ,0.692616    ,0.0011033   ,0.692616    ,0.0011033
0.01 ,0.1 ,     3 ,      2 ,      1 ,             0 ,0.493339    ,0.0133175   ,0.493339    ,0.0133175
0.01 ,0.1 ,     3 ,      2 ,      1 ,             1 ,0.692608    ,0.0012948   ,0.692608    ,0.0012948
