eta,mu,layers,neurons,offline,error_function,train_mean,train_std,test_mean,test_std
0.1,0.5,2,4,0,0,0.782762,0.0226388,0.782766,0.0248575
0.1,0.5,2,4,0,1,0.180128,0.0135794,0.186119,0.0132633
0.1,0.5,2,4,1,0,0.24324,0.0794057,0.347045,0.0676853
0.1,0.5,2,4,1,1,0.350978,0.103356,0.37202,0.103421
0.1,0.5,2,8,0,0,0.66097,0.0516754,0.662692,0.0460159
0.1,0.5,2,8,0,1,0.113816,0.00746492,0.128216,0.00397284
0.1,0.5,2,8,1,0,0.058937,0.0227396,0.257043,0.0173578
0.1,0.5,2,8,1,1,0.245477,0.0632714,0.288442,0.0621648
0.1,0.5,2,16,0,0,0.427458,0.0141797,0.443828,0.00487198
0.1,0.5,2,16,0,1,0.0687924,0.00315293,0.10184,0.00670781
0.1,0.5,2,16,1,0,0.0024434,0.00475156,0.29676,0.0334563
0.1,0.5,2,16,1,1,0.237359,0.0838739,0.302911,0.0561801
0.1,0.5,2,24,0,0,0.343004,0.0188569,0.390021,0.0215202
0.1,0.5,2,24,0,1,0.0544622,0.00277064,0.0987711,0.00533861
0.1,0.5,2,24,1,0,0.00194152,0.00377935,0.284352,0.0236471
0.1,0.5,2,24,1,1,0.153803,0.097214,0.238858,0.0415598
0.1,0.5,2,32,0,0,0.298823,0.0242817,0.353063,0.0267734
0.1,0.5,2,32,0,1,0.0482946,0.00363312,0.0957231,0.00544115
0.1,0.5,2,32,1,0,0.000436121,0.000647728,0.286296,0.0354667
0.1,0.5,2,32,1,1,0.0636658,0.0529805,0.239481,0.043583
0.1,0.5,3,4,0,0,0.825002,0.00406711,0.82488,0.00521983
0.1,0.5,3,4,0,1,0.243915,0.0131824,0.246239,0.0106864
0.1,0.5,3,4,1,0,0.79025,0.232126,0.8196,0.223184
0.1,0.5,3,4,1,1,0.540944,0.095639,0.54247,0.0905534
0.1,0.5,3,8,0,0,0.807683,0.00707054,0.80898,0.00758061
0.1,0.5,3,8,0,1,0.17881,0.0118226,0.183292,0.0154502
0.1,0.5,3,8,1,0,0.216203,0.074958,0.330257,0.050114
0.1,0.5,3,8,1,1,0.462937,0.142202,0.476889,0.129928
0.1,0.5,3,16,0,0,0.685304,0.0379739,0.695134,0.039309
0.1,0.5,3,16,0,1,0.0988368,0.00890535,0.127998,0.0121764
0.1,0.5,3,16,1,0,0.0077334,0.00738984,0.28244,0.0197263
0.1,0.5,3,16,1,1,0.3125,0.0738309,0.352512,0.0588459
0.1,0.5,3,24,0,0,0.483202,0.045711,0.496246,0.0421866
0.1,0.5,3,24,0,1,0.0641272,0.00471338,0.103985,0.00701206
0.1,0.5,3,24,1,0,0.00367253,0.00731482,0.271999,0.0182306
0.1,0.5,3,24,1,1,0.239202,0.0482858,0.339202,0.0301222
0.1,0.5,3,32,0,0,0.437041,0.0205137,0.462507,0.0253463
0.1,0.5,3,32,0,1,0.0489927,0.00455138,0.0992091,0.00661403
0.1,0.5,3,32,1,0,0.00421193,0.00514576,0.279053,0.0323001
0.1,0.5,3,32,1,1,0.210051,0.074036,0.295777,0.0456869
0.1,0.5,4,4,0,0,0.8329,0.000369415,0.833145,0.000386608
0.1,0.5,4,4,0,1,0.29727,0.00105416,0.297519,0.000948718
0.1,0.5,4,4,1,0,1.08796,0.0475227,1.10609,0.0374882
0.1,0.5,4,4,1,1,0.574876,0.0797816,0.571925,0.0757611
0.1,0.5,4,8,0,0,0.829032,0.00354827,0.82888,0.0039831
0.1,0.5,4,8,0,1,0.259093,0.032747,0.262261,0.0289197
0.1,0.5,4,8,1,0,0.908677,0.225244,0.948236,0.223807
0.1,0.5,4,8,1,1,0.59404,0.109502,0.601683,0.0998751
0.1,0.5,4,16,0,0,0.795871,0.0203888,0.79736,0.0202158
0.1,0.5,4,16,0,1,0.13269,0.0106029,0.153063,0.0146139
0.1,0.5,4,16,1,0,0.262296,0.142882,0.389645,0.122168
0.1,0.5,4,16,1,1,0.476403,0.0723942,0.498517,0.0513238
0.1,0.5,4,24,0,0,0.622411,0.030416,0.627122,0.0312832
0.1,0.5,4,24,0,1,0.0723062,0.00736682,0.113462,0.00477976
0.1,0.5,4,24,1,0,0.104363,0.124496,0.315869,0.0590939
0.1,0.5,4,24,1,1,0.31677,0.0552207,0.373792,0.0465923
0.1,0.5,4,32,0,0,0.533076,0.0262826,0.548565,0.0235798
0.1,0.5,4,32,0,1,0.0512413,0.00685877,0.104209,0.00550586
0.1,0.5,4,32,1,0,0.109418,0.108821,0.33244,0.0638895
0.1,0.5,4,32,1,1,0.199054,0.159367,0.328637,0.103489
0.1,0.5,5,4,0,0,0.833314,7.09337e-05,0.833287,6.5094e-05
0.1,0.5,5,4,0,1,0.298596,4.09791e-05,0.298583,3.61555e-05
0.1,0.5,5,4,1,0,1.33362,0.0511826,1.33477,0.0490152
0.1,0.5,5,4,1,1,0.646536,0.0556348,0.645288,0.0563581
0.1,0.5,5,8,0,0,0.833013,0.000261417,0.832973,0.0005005
0.1,0.5,5,8,0,1,0.297775,0.000758634,0.297684,0.00101934
0.1,0.5,5,8,1,0,1.19442,0.0864634,1.21404,0.0748656
0.1,0.5,5,8,1,1,0.64099,0.0397888,0.637718,0.0432523
0.1,0.5,5,16,0,0,0.826883,0.00380232,0.827075,0.00349222
0.1,0.5,5,16,0,1,0.207296,0.0428377,0.217439,0.0355357
0.1,0.5,5,16,1,0,1.02766,0.286692,1.05904,0.26141
0.1,0.5,5,16,1,1,0.531731,0.11782,0.545354,0.101619
0.1,0.5,5,24,0,0,0.745552,0.0447041,0.744282,0.0443451
0.1,0.5,5,24,0,1,0.0948363,0.0115463,0.136903,0.00692415
0.1,0.5,5,24,1,0,0.754827,0.2581,0.789576,0.217361
0.1,0.5,5,24,1,1,0.489528,0.0797458,0.52152,0.0743779
0.1,0.5,5,32,0,0,0.636756,0.0621918,0.644902,0.051312
0.1,0.5,5,32,0,1,0.059687,0.0128368,0.115642,0.0129385
0.1,0.5,5,32,1,0,0.371599,0.305948,0.493486,0.257142
0.1,0.5,5,32,1,1,0.321389,0.0893361,0.388007,0.063645
0.1,0.7,2,4,0,0,0.771581,0.0257014,0.771868,0.0279882
0.1,0.7,2,4,0,1,0.166942,0.0127134,0.175589,0.0131979
0.1,0.7,2,4,1,0,0.251475,0.0622628,0.35423,0.0417639
0.1,0.7,2,4,1,1,0.416044,0.0659281,0.432237,0.0562221
0.1,0.7,2,8,0,0,0.627111,0.0529292,0.629924,0.0462712
0.1,0.7,2,8,0,1,0.104475,0.00836468,0.122535,0.00622465
0.1,0.7,2,8,1,0,0.0677475,0.0223206,0.248863,0.0301079
0.1,0.7,2,8,1,1,0.3055,0.054093,0.338428,0.0507608
0.1,0.7,2,16,0,0,0.396539,0.0159475,0.417733,0.00457027
0.1,0.7,2,16,0,1,0.0619577,0.00296769,0.0994798,0.00699236
0.1,0.7,2,16,1,0,0.00207127,0.00237615,0.267525,0.0295816
0.1,0.7,2,16,1,1,0.200192,0.0275958,0.252348,0.0434093
0.1,0.7,2,24,0,0,0.316762,0.0157094,0.370401,0.0165303
0.1,0.7,2,24,0,1,0.0485261,0.00244857,0.0981374,0.00557861
0.1,0.7,2,24,1,0,3.23958e-05,5.82582e-06,0.268757,0.0107723
0.1,0.7,2,24,1,1,0.130692,0.0348624,0.254377,0.0299185
0.1,0.7,2,32,0,0,0.276446,0.0225498,0.336531,0.0252401
0.1,0.7,2,32,0,1,0.042715,0.00331203,0.0951779,0.00575926
0.1,0.7,2,32,1,0,2.47887e-05,1.56706e-05,0.257162,0.0242276
0.1,0.7,2,32,1,1,0.157557,0.040674,0.262712,0.0346525
0.1,0.7,3,4,0,0,0.823184,0.00498679,0.823008,0.00622742
0.1,0.7,3,4,0,1,0.235275,0.0121355,0.239004,0.00964605
0.1,0.7,3,4,1,0,0.855016,0.271327,0.88242,0.257865
0.1,0.7,3,4,1,1,0.511651,0.0893533,0.518839,0.0865204
0.1,0.7,3,8,0,0,0.800288,0.00917142,0.801488,0.00993214
0.1,0.7,3,8,0,1,0.161745,0.011738,0.169269,0.0165774
0.1,0.7,3,8,1,0,0.384399,0.136369,0.4575,0.122025
0.1,0.7,3,8,1,1,0.523064,0.107529,0.527964,0.110984
0.1,0.7,3,16,0,0,0.651606,0.0378376,0.663604,0.0406851
0.1,0.7,3,16,0,1,0.0870742,0.00880394,0.122383,0.0122769
0.1,0.7,3,16,1,0,0.0534368,0.0598008,0.302141,0.0392464
0.1,0.7,3,16,1,1,0.34993,0.0833419,0.385522,0.0776187
0.1,0.7,3,24,0,0,0.451041,0.0430588,0.470573,0.039159
0.1,0.7,3,24,0,1,0.0561232,0.00407727,0.102121,0.00676056
0.1,0.7,3,24,1,0,0.0206457,0.0247029,0.276375,0.0175501
0.1,0.7,3,24,1,1,0.26937,0.027195,0.346028,0.0324932
0.1,0.7,3,32,0,0,0.417752,0.0185107,0.444414,0.0242829
0.1,0.7,3,32,0,1,0.0426334,0.00403152,0.0986764,0.00617232
0.1,0.7,3,32,1,0,0.00478363,0.00955158,0.27272,0.0169351
0.1,0.7,3,32,1,1,0.208828,0.0884138,0.327451,0.0714175
0.1,0.7,4,4,0,0,0.832849,0.000390959,0.833098,0.000406446
0.1,0.7,4,4,0,1,0.296577,0.00175517,0.296896,0.00159541
0.1,0.7,4,4,1,0,1.14992,0.0426722,1.15746,0.0443836
0.1,0.7,4,4,1,1,0.637447,0.0654315,0.641562,0.0627338
0.1,0.7,4,8,0,0,0.828038,0.0046257,0.827878,0.0050687
0.1,0.7,4,8,0,1,0.249269,0.0302327,0.254011,0.0250496
0.1,0.7,4,8,1,0,0.970692,0.0971582,0.983832,0.111928
0.1,0.7,4,8,1,1,0.562619,0.0722701,0.565281,0.0776618
0.1,0.7,4,16,0,0,0.783719,0.0265108,0.786088,0.0259113
0.1,0.7,4,16,0,1,0.114694,0.00863508,0.141665,0.013205
0.1,0.7,4,16,1,0,0.602186,0.199134,0.648354,0.197294
0.1,0.7,4,16,1,1,0.499916,0.0615163,0.520964,0.069519
0.1,0.7,4,24,0,0,0.587602,0.0277937,0.595184,0.0280936
0.1,0.7,4,24,0,1,0.0624908,0.00685512,0.111421,0.00485429
0.1,0.7,4,24,1,0,0.118511,0.0684129,0.312306,0.0344327
0.1,0.7,4,24,1,1,0.322242,0.0467012,0.371741,0.0332932
0.1,0.7,4,32,0,0,0.503235,0.0296488,0.522061,0.0276353
0.1,0.7,4,32,0,1,0.0434926,0.00615919,0.104025,0.00598965
0.1,0.7,4,32,1,0,0.214066,0.189301,0.370535,0.128663
0.1,0.7,4,32,1,1,0.297839,0.0837813,0.361664,0.0698938
0.1,0.7,5,4,0,0,0.833312,7.09382e-05,0.833285,6.50759e-05
0.1,0.7,5,4,0,1,0.298591,4.30958e-05,0.298579,3.75938e-05
0.1,0.7,5,4,1,0,1.38543,0.00701712,1.38545,0.00703347
0.1,0.7,5,4,1,1,0.66696,0.0518656,0.667398,0.0515726
0.1,0.7,5,8,0,0,0.832973,0.000278092,0.83293,0.00052208
0.1,0.7,5,8,0,1,0.297424,0.00124041,0.297289,0.00159348
0.1,0.7,5,8,1,0,1.26558,0.0658132,1.27845,0.0565032
0.1,0.7,5,8,1,1,0.585844,0.0791646,0.585887,0.081591
0.1,0.7,5,16,0,0,0.825312,0.00480365,0.8255,0.00453211
0.1,0.7,5,16,0,1,0.180499,0.0339988,0.198882,0.0243436
0.1,0.7,5,16,1,0,1.1802,0.201156,1.18113,0.197058
0.1,0.7,5,16,1,1,0.568283,0.133208,0.580532,0.121911
0.1,0.7,5,24,0,0,0.722067,0.0540654,0.721511,0.0531563
0.1,0.7,5,24,0,1,0.0807706,0.0106551,0.133217,0.00888812
0.1,0.7,5,24,1,0,0.907365,0.317196,0.946702,0.326084
0.1,0.7,5,24,1,1,0.495674,0.0522563,0.524956,0.0423774
0.1,0.7,5,32,0,0,0.605628,0.0625629,0.616034,0.0498754
0.1,0.7,5,32,0,1,0.0486294,0.0108934,0.115208,0.0142743
0.1,0.7,5,32,1,0,0.55576,0.313059,0.664801,0.279976
0.1,0.7,5,32,1,1,0.419677,0.112725,0.460759,0.0858136
0.1,0.9,2,4,0,0,0.759446,0.0283574,0.760299,0.0303987
0.1,0.9,2,4,0,1,0.155705,0.0114913,0.166794,0.0132924
0.1,0.9,2,4,1,0,0.402941,0.10225,0.443053,0.106487
0.1,0.9,2,4,1,1,0.443813,0.0783112,0.458161,0.0707456
0.1,0.9,2,8,0,0,0.59349,0.0519997,0.598306,0.044052
0.1,0.9,2,8,0,1,0.0968986,0.0091457,0.118677,0.00771655
0.1,0.9,2,8,1,0,0.0977943,0.0330458,0.272186,0.0467326
0.1,0.9,2,8,1,1,0.311453,0.0729217,0.349902,0.0610783
0.1,0.9,2,16,0,0,0.370491,0.0169491,0.397063,0.00524294
0.1,0.9,2,16,0,1,0.0562528,0.00262472,0.0978228,0.00737051
0.1,0.9,2,16,1,0,0.00133573,0.00201961,0.256024,0.0357978
0.1,0.9,2,16,1,1,0.213744,0.0478095,0.276351,0.0300236
0.1,0.9,2,24,0,0,0.294513,0.0131486,0.354072,0.0126638
0.1,0.9,2,24,0,1,0.0436367,0.00228427,0.0979301,0.00539872
0.1,0.9,2,24,1,0,2.88045e-05,6.90718e-06,0.266577,0.0216301
0.1,0.9,2,24,1,1,0.157626,0.0371203,0.274458,0.0268693
0.1,0.9,2,32,0,0,0.257233,0.0212569,0.323308,0.0244691
0.1,0.9,2,32,0,1,0.0382504,0.00309076,0.0952134,0.00606309
0.1,0.9,2,32,1,0,1.6402e-05,2.76134e-06,0.249368,0.0219217
0.1,0.9,2,32,1,1,0.209659,0.0361942,0.317651,0.0450572
0.1,0.9,3,4,0,0,0.820959,0.00618067,0.820725,0.00751407
0.1,0.9,3,4,0,1,0.228648,0.0112037,0.233841,0.00906015
0.1,0.9,3,4,1,0,1.0185,0.1702,1.04062,0.163125
0.1,0.9,3,4,1,1,0.588693,0.0704784,0.593304,0.0706016
0.1,0.9,3,8,0,0,0.79082,0.0120084,0.791902,0.0127965
0.1,0.9,3,8,0,1,0.147135,0.0102275,0.157597,0.0158373
0.1,0.9,3,8,1,0,0.37696,0.132422,0.442151,0.115136
0.1,0.9,3,8,1,1,0.448376,0.0661576,0.460679,0.0708134
0.1,0.9,3,16,0,0,0.617796,0.0377902,0.632217,0.041869
0.1,0.9,3,16,0,1,0.0776349,0.00874413,0.118492,0.0121191
0.1,0.9,3,16,1,0,0.14319,0.0732942,0.324215,0.0433542
0.1,0.9,3,16,1,1,0.327827,0.0681157,0.374738,0.0447545
0.1,0.9,3,24,0,0,0.424063,0.0418766,0.449586,0.036916
0.1,0.9,3,24,0,1,0.0494778,0.00351156,0.100874,0.00625108
0.1,0.9,3,24,1,0,0.0560101,0.0378057,0.280972,0.0363748
0.1,0.9,3,24,1,1,0.336519,0.123303,0.41096,0.0939383
0.1,0.9,3,32,0,0,0.400287,0.0182649,0.428503,0.0242076
0.1,0.9,3,32,0,1,0.037455,0.00357091,0.098789,0.00581517
0.1,0.9,3,32,1,0,0.0126384,0.0133243,0.2601,0.0207378
0.1,0.9,3,32,1,1,0.292052,0.104493,0.392301,0.106171
0.1,0.9,4,4,0,0,0.832796,0.000415853,0.83305,0.000428941
0.1,0.9,4,4,0,1,0.295318,0.00319092,0.295698,0.00303319
0.1,0.9,4,4,1,0,1.13647,0.0873615,1.13108,0.0969657
0.1,0.9,4,4,1,1,0.625442,0.0531197,0.637084,0.0481173
0.1,0.9,4,8,0,0,0.826801,0.00603615,0.826629,0.00648971
0.1,0.9,4,8,0,1,0.23651,0.0240652,0.242423,0.0176553
0.1,0.9,4,8,1,0,1.00315,0.175384,1.03009,0.165749
0.1,0.9,4,8,1,1,0.583411,0.0631159,0.595697,0.0611852
0.1,0.9,4,16,0,0,0.769425,0.0311203,0.773066,0.029946
0.1,0.9,4,16,0,1,0.1005,0.00698603,0.134223,0.0123113
0.1,0.9,4,16,1,0,0.657419,0.173315,0.698876,0.173351
0.1,0.9,4,16,1,1,0.462823,0.0965171,0.47683,0.0901267
0.1,0.9,4,24,0,0,0.555852,0.0243754,0.567542,0.0242319
0.1,0.9,4,24,0,1,0.0546876,0.00630666,0.110371,0.00474572
0.1,0.9,4,24,1,0,0.289204,0.167703,0.429408,0.125864
0.1,0.9,4,24,1,1,0.337686,0.0351772,0.390809,0.0410874
0.1,0.9,4,32,0,0,0.477583,0.0328562,0.49929,0.0318128
0.1,0.9,4,32,0,1,0.0373712,0.00570683,0.104631,0.00628675
0.1,0.9,4,32,1,0,0.457823,0.169236,0.560217,0.142031
0.1,0.9,4,32,1,1,0.338616,0.192958,0.394945,0.175212
0.1,0.9,5,4,0,0,0.83331,7.09864e-05,0.833283,6.50811e-05
0.1,0.9,5,4,0,1,0.298587,4.56705e-05,0.298574,3.94139e-05
0.1,0.9,5,4,1,0,1.40768,0.00596394,1.40768,0.00597198
0.1,0.9,5,4,1,1,0.717906,0.018897,0.718317,0.0180746
0.1,0.9,5,8,0,0,0.832931,0.000297269,0.832884,0.000546631
0.1,0.9,5,8,0,1,0.296796,0.00222126,0.296606,0.00269109
0.1,0.9,5,8,1,0,1.27695,0.0520108,1.29743,0.0404449
0.1,0.9,5,8,1,1,0.66076,0.0603554,0.668966,0.0566867
0.1,0.9,5,16,0,0,0.823353,0.0061436,0.823525,0.00594657
0.1,0.9,5,16,0,1,0.155328,0.0214044,0.182393,0.010267
0.1,0.9,5,16,1,0,1.22234,0.168214,1.23054,0.161917
0.1,0.9,5,16,1,1,0.593288,0.0714828,0.603041,0.0649898
0.1,0.9,5,24,0,0,0.697258,0.0632748,0.698574,0.0611529
0.1,0.9,5,24,0,1,0.0691703,0.00971496,0.131581,0.00979125
0.1,0.9,5,24,1,0,1.03565,0.191503,1.04481,0.196828
0.1,0.9,5,24,1,1,0.444025,0.110979,0.464051,0.0902248
0.1,0.9,5,32,0,0,0.574954,0.0621263,0.588596,0.0478132
0.1,0.9,5,32,0,1,0.0400051,0.00920207,0.116009,0.015061
0.1,0.9,5,32,1,0,0.711025,0.194995,0.735899,0.18116
0.1,0.9,5,32,1,1,0.358198,0.0918539,0.41065,0.0735661
0.3,0.5,2,4,0,0,0.561983,0.0372874,0.57043,0.0393126
0.3,0.5,2,4,0,1,0.0944445,0.0127287,0.137695,0.0101537
0.3,0.5,2,4,1,0,1.05477,0.0871191,1.07369,0.081129
0.3,0.5,2,4,1,1,0.719616,0.0861011,0.707069,0.0867699
0.3,0.5,2,8,0,0,0.328766,0.025386,0.373289,0.0149791
0.3,0.5,2,8,0,1,0.0535817,0.00514961,0.104188,0.0106437
0.3,0.5,2,8,1,0,0.80254,0.119523,0.815769,0.127568
0.3,0.5,2,8,1,1,0.732295,0.0219873,0.73108,0.0218564
0.3,0.5,2,16,0,0,0.195311,0.012465,0.281838,0.0250055
0.3,0.5,2,16,0,1,0.0268259,0.00213792,0.101142,0.0115666
0.3,0.5,2,16,1,0,0.754001,0.0493339,0.769675,0.058529
0.3,0.5,2,16,1,1,0.611885,0.0600237,0.648984,0.0335884
0.3,0.5,2,24,0,0,0.150828,0.00554074,0.275655,0.0155232
0.3,0.5,2,24,0,1,0.0171239,0.00144433,0.110264,0.00552828
0.3,0.5,2,24,1,0,0.569347,0.191717,0.611064,0.189312
0.3,0.5,2,24,1,1,0.7237,0.1011,0.749484,0.0941097
0.3,0.5,2,32,0,0,0.136094,0.0176372,0.263496,0.0174286
0.3,0.5,2,32,0,1,0.0125645,0.00166985,0.104661,0.00809646
0.3,0.5,2,32,1,0,0.763015,0.156302,0.799082,0.135917
0.3,0.5,2,32,1,1,0.725545,0.111233,0.739063,0.115132
0.3,0.5,3,4,0,0,0.74366,0.0245856,0.745958,0.0209808
0.3,0.5,3,4,0,1,0.152861,0.0279721,0.181957,0.0295751
0.3,0.5,3,4,1,0,1.26384,0.0786446,1.25554,0.0983853
0.3,0.5,3,4,1,1,0.796745,0.0395298,0.791547,0.0403715
0.3,0.5,3,8,0,0,0.582636,0.0360383,0.58894,0.0416645
0.3,0.5,3,8,0,1,0.0631547,0.00209069,0.114922,0.01175
0.3,0.5,3,8,1,0,1.15068,0.131276,1.15555,0.12834
0.3,0.5,3,8,1,1,0.716066,0.0333785,0.726223,0.0156196
0.3,0.5,3,16,0,0,0.354792,0.0263303,0.421204,0.0335241
0.3,0.5,3,16,0,1,0.030602,0.00331534,0.11378,0.0124062
0.3,0.5,3,16,1,0,1.1091,0.0846711,1.10945,0.0863083
0.3,0.5,3,16,1,1,0.638144,0.0778335,0.634144,0.0739195
0.3,0.5,3,24,0,0,0.207737,0.0330964,0.299704,0.0253633
0.3,0.5,3,24,0,1,0.0160124,0.00217261,0.113421,0.00500823
0.3,0.5,3,24,1,0,1.00678,0.104176,1.0306,0.0822303
0.3,0.5,3,24,1,1,0.695078,0.0563034,0.713142,0.0426071
0.3,0.5,3,32,0,0,0.182032,0.0127114,0.274494,0.0167464
0.3,0.5,3,32,0,1,0.00897568,0.00167494,0.114597,0.00576776
0.3,0.5,3,32,1,0,1.02413,0.0655208,1.04604,0.0648497
0.3,0.5,3,32,1,1,0.742006,0.0194607,0.756035,0.0399825
0.3,0.5,4,4,0,0,0.831596,0.00124442,0.83197,0.00115291
0.3,0.5,4,4,0,1,0.227706,0.0244323,0.237721,0.0163005
0.3,0.5,4,4,1,0,1.27979,0.0667633,1.29635,0.0636941
0.3,0.5,4,4,1,1,0.812482,0.0420985,0.816335,0.0419814
0.3,0.5,4,8,0,0,0.778008,0.0535109,0.780975,0.0493835
0.3,0.5,4,8,0,1,0.13862,0.0152288,0.176356,0.0164813
0.3,0.5,4,8,1,0,1.37568,0.0829482,1.36754,0.0724862
0.3,0.5,4,8,1,1,0.758804,0.0273864,0.751635,0.0267619
0.3,0.5,4,16,0,0,0.515972,0.0470634,0.549032,0.0391549
0.3,0.5,4,16,0,1,0.0355964,0.00327173,0.132012,0.0147718
0.3,0.5,4,16,1,0,1.30083,0.0438968,1.29538,0.0452977
0.3,0.5,4,16,1,1,0.734478,0.0709317,0.73381,0.0699527
0.3,0.5,4,24,0,0,0.275715,0.0334645,0.368277,0.0228164
0.3,0.5,4,24,0,1,0.0174908,0.00363681,0.123158,0.00591536
0.3,0.5,4,24,1,0,1.24779,0.111361,1.25456,0.112786
0.3,0.5,4,24,1,1,0.719942,0.0726015,0.736432,0.0624218
0.3,0.5,4,32,0,0,0.20274,0.0205046,0.323147,0.0346665
0.3,0.5,4,32,0,1,0.00780157,0.0020814,0.129453,0.0085071
0.3,0.5,4,32,1,0,1.16719,0.101297,1.19736,0.0929335
0.3,0.5,4,32,1,1,0.725498,0.0456017,0.735396,0.0433906
0.3,0.5,5,4,0,0,0.833283,7.58109e-05,0.833257,6.77121e-05
0.3,0.5,5,4,0,1,0.298459,0.000197825,0.298453,0.000167338
0.3,0.5,5,4,1,0,1.52176,0.00116365,1.52176,0.00116465
0.3,0.5,5,4,1,1,0.81938,0.0495235,0.813447,0.0513806
0.3,0.5,5,8,0,0,0.832116,0.000970234,0.831984,0.00138103
0.3,0.5,5,8,0,1,0.208764,0.0247949,0.223445,0.0166919
0.3,0.5,5,8,1,0,1.38845,0.0736077,1.39284,0.080818
0.3,0.5,5,8,1,1,0.813441,0.0420397,0.811542,0.0450704
0.3,0.5,5,16,0,0,0.696912,0.0935194,0.706597,0.0859301
0.3,0.5,5,16,0,1,0.0407146,0.0046437,0.165291,0.0325843
0.3,0.5,5,16,1,0,1.38899,0.0960817,1.39292,0.092356
0.3,0.5,5,16,1,1,0.776816,0.039268,0.777408,0.038041
0.3,0.5,5,24,0,0,0.39915,0.0782956,0.460703,0.0486188
0.3,0.5,5,24,0,1,0.014046,0.00236525,0.159348,0.0213505
0.3,0.5,5,24,1,0,1.36178,0.164442,1.35855,0.164048
0.3,0.5,5,24,1,1,0.778116,0.0314999,0.773792,0.031484
0.3,0.5,5,32,0,0,0.268209,0.044878,0.386347,0.0126875
0.3,0.5,5,32,0,1,0.00591187,0.00216224,0.15091,0.0223564
0.3,0.5,5,32,1,0,1.34558,0.0770763,1.3475,0.0615109
0.3,0.5,5,32,1,1,0.835797,0.0621322,0.828753,0.0620358
0.3,0.7,2,4,0,0,0.523736,0.0407959,0.537783,0.0462328
0.3,0.7,2,4,0,1,0.0904519,0.0117915,0.137171,0.00970217
0.3,0.7,2,4,1,0,1.01973,0.0940059,1.02734,0.09531
0.3,0.7,2,4,1,1,0.769775,0.0825097,0.763612,0.0711788
0.3,0.7,2,8,0,0,0.294904,0.0223411,0.352079,0.0136119
0.3,0.7,2,8,0,1,0.0492319,0.00416518,0.103568,0.0109357
0.3,0.7,2,8,1,0,0.98281,0.0945139,0.968708,0.0905065
0.3,0.7,2,8,1,1,0.683293,0.0870943,0.699795,0.0748406
0.3,0.7,2,16,0,0,0.176177,0.0117897,0.275534,0.0260697
0.3,0.7,2,16,0,1,0.024063,0.0019334,0.103269,0.0116465
0.3,0.7,2,16,1,0,0.766473,0.0611048,0.766571,0.0444638
0.3,0.7,2,16,1,1,0.693519,0.0193524,0.686673,0.0212538
0.3,0.7,2,24,0,0,0.135136,0.00612737,0.271701,0.0162609
0.3,0.7,2,24,0,1,0.0144411,0.00144801,0.113438,0.00562554
0.3,0.7,2,24,1,0,0.827706,0.163019,0.838331,0.139994
0.3,0.7,2,24,1,1,0.630373,0.101451,0.66601,0.0815507
0.3,0.7,2,32,0,0,0.122891,0.0171656,0.259306,0.0170017
0.3,0.7,2,32,0,1,0.010425,0.00160875,0.107514,0.00791306
0.3,0.7,2,32,1,0,0.778047,0.108116,0.766257,0.107161
0.3,0.7,2,32,1,1,0.736211,0.109654,0.755461,0.103996
0.3,0.7,3,4,0,0,0.722273,0.0207418,0.726472,0.0172242
0.3,0.7,3,4,0,1,0.142315,0.0294162,0.177751,0.0296719
0.3,0.7,3,4,1,0,1.27428,0.0713614,1.27214,0.0711868
0.3,0.7,3,4,1,1,0.798976,0.0213739,0.79114,0.0290203
0.3,0.7,3,8,0,0,0.537748,0.0398964,0.548139,0.0489557
0.3,0.7,3,8,0,1,0.0568801,0.00247964,0.114981,0.0123923
0.3,0.7,3,8,1,0,1.21557,0.0393218,1.22396,0.0432294
0.3,0.7,3,8,1,1,0.787983,0.0789981,0.80107,0.0613208
